Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180713,P ,PARKS,P  1300,"IMPROVEMENTS TO CENTRAL PARK, MANHATTAN",C,2019,15769228,10619000,41000000,6000000
20180713,PV,CULTURAL INSTITUTIONS,PV D501,"P.S.1 (ART INSTITUTE),  QUEENS, RECONSTRUCTION AND IMPROVEMENTS",C,2019,500000,0,0,0
20180713,LB,BROOKLYN PUBLIC LIBRARY,LB K107,"CONSTRUCTION, SITE ACQUISTION AND F&E FOR BCM/BROWER PARK LIBRARY",C,2019,500000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV DN038,ATLANTIC THEATER COMPANY,C,2019,300000,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 1141,"RECON METROPOLITAN AVE BRIDGE OVER CONRAIL, QUEENS",C,2019,0,0,56463000,3274000
20180713,PV,CULTURAL INSTITUTIONS,PV MN222,JOYCE THEATER,C,2019,40000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV MN143,ELAINE KAUFMAN CULTURAL CENTER,C,2019,145000,0,0,0
20180713,P ,PARKS,P  1200,BROOKLYN BRIDGE PARK DEVELOPMENT,C,2019,2499999,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 1023,"BRIDGE REHABILITATION, MILL BASIN BRIDGE,ETC., BROOKLYN",C,2019,0,5579051,0,0
20180713,LB,BROOKLYN PUBLIC LIBRARY,LB I001,"ARCH, ENGINEERING, ADMIN EXPENSES FOR CAPITAL PROJECTS",C,2019,500000,0,0,0
20180713,P ,PARKS,P  0828,RECONSTRUCTION OF BATTERY PARK SEA WALL,F,2019,6000000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV 0N669,NUYORICAN POETS CAFE,C,2019,1500000,0,0,0
20180713,LQ,QUEENS BOROUGH PUB. LIB.,LQ I001,"ARCH, ENGINEERING, ADMIN EXPENSES FOR CAPITAL PROJECTS",C,2019,500000,0,0,0
20180713,PW,PUBLIC BUILDINGS,PW 0080,"2 LAFAYETTE STREET, MANHATTAN",C,2019,0,930000,0,12000000
